term_str,n,p,i,n_chars,max_pos,n_pos,stop,p_stem,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
crisp,124,2.1304180051934094e-05,15.518503947810254,5,NN,5,0,crisp,0,0,0,0,0,1,0,0,0,1,-1
cad,123,2.1132372148289463e-05,15.53018575285789,3,NN,4,0,cad,1,0,1,0,0,1,0,0,0,0,-1
decay,123,2.1132372148289463e-05,15.53018575285789,5,NN,6,0,decay,0,0,0,1,0,1,0,1,0,0,-1
pilot,122,2.0960564244644835e-05,15.541962920634242,5,NN,3,0,pilot,0,0,0,0,0,0,1,0,0,1,1
tumor,122,2.0960564244644835e-05,15.541962920634242,5,NN,4,0,tumor,0,0,0,1,0,1,0,0,0,0,-1
dagger,121,2.0788756341000204e-05,15.553837020922535,6,NN,6,0,dagger,0,0,0,1,0,1,0,0,0,0,-1
stroke,121,2.0788756341000204e-05,15.553837020922535,6,NN,4,0,stroke,0,0,0,1,0,1,0,1,0,0,-1
excited,119,2.0445140533710945e-05,15.577882494889185,7,VBN,4,0,excit,0,1,0,0,1,0,1,0,1,1,1
university,118,2.0273332630066314e-05,15.590057208835288,10,NN,2,0,univers,0,1,0,0,0,0,1,0,0,0,1
suspension,118,2.0273332630066314e-05,15.590057208835288,10,NN,1,0,suspens,0,0,0,1,0,1,0,0,0,0,-1
hearing,116,1.9929716822777055e-05,15.614719263069556,7,NN,2,0,hear,0,0,0,1,0,1,0,0,0,0,-1
practiced,115,1.9757908919132423e-05,15.627210207252753,9,VBN,4,0,practic,0,0,0,0,1,0,1,0,1,1,1
consistency,115,1.9757908919132423e-05,15.627210207252753,11,NN,1,0,consist,0,0,0,0,0,0,1,0,0,1,1
ultimately,115,1.9757908919132423e-05,15.627210207252753,10,RB,1,0,ultim,0,1,0,0,0,0,1,0,0,0,1
compensate,114,1.9586101015487796e-05,15.639810244032388,10,VB,3,0,compens,0,1,0,0,1,0,1,0,1,1,1
nervous,114,1.9586101015487796e-05,15.639810244032388,7,JJ,1,0,nervou,0,1,0,1,0,1,0,0,0,0,-1
exchange,114,1.9586101015487796e-05,15.639810244032388,8,NN,3,0,exchang,0,0,0,0,0,0,1,0,0,1,1
obstacle,112,1.9242485208198537e-05,15.665345336139525,8,NN,5,0,obstacl,1,0,0,1,0,1,0,1,0,0,-1
musical,111,1.9070677304553905e-05,15.678284391847024,7,JJ,2,0,music,1,1,0,0,1,0,1,1,1,1,1
lost,111,1.9070677304553905e-05,15.678284391847024,4,VBN,4,0,lost,0,0,0,0,0,1,0,1,0,0,-1
evident,110,1.8898869400909278e-05,15.69134054467247,7,JJ,3,0,evid,0,0,0,0,0,0,1,0,0,1,1
illumination,110,1.8898869400909278e-05,15.69134054467247,12,NN,4,0,illumin,0,0,0,0,1,0,1,0,1,1,1
demand,110,1.8898869400909278e-05,15.69134054467247,6,NN,4,0,demand,1,0,0,0,0,1,0,0,0,0,-1
verified,109,1.8727061497264646e-05,15.704515933420202,8,VBN,3,0,verifi,0,0,0,0,0,0,1,0,0,1,1
defective,109,1.8727061497264646e-05,15.704515933420202,9,JJ,4,0,defect,0,0,1,0,0,1,0,0,0,0,-1
facts,109,1.8727061497264646e-05,15.704515933420202,5,NNS,2,0,fact,0,0,0,0,0,0,1,0,0,1,1
symmetry,109,1.8727061497264646e-05,15.704515933420202,8,NN,3,0,symmetri,0,0,0,0,1,0,1,0,0,1,1
hit,109,1.8727061497264646e-05,15.704515933420202,3,NN,6,0,hit,1,0,0,0,0,1,0,0,0,0,-1
majority,108,1.8555253593620015e-05,15.717812756033661,8,NN,1,0,major,0,0,0,0,1,0,1,0,0,1,1
dominant,108,1.8555253593620015e-05,15.717812756033661,8,JJ,2,0,domin,0,0,0,1,0,1,0,0,0,0,-1
excluded,106,1.8211637786330756e-05,15.74477980363393,8,VBN,3,0,exclud,0,0,1,0,0,1,0,1,0,0,-1
attenuation,104,1.7868021979041497e-05,15.772260540056037,11,NN,1,0,attenu,0,0,0,0,0,1,0,1,0,0,-1
accomplish,104,1.7868021979041497e-05,15.772260540056037,10,VB,4,0,accomplish,0,0,0,0,1,0,1,0,0,0,1
unity,104,1.7868021979041497e-05,15.772260540056037,5,NN,4,0,uniti,0,0,0,0,0,0,1,0,0,1,1
concerned,103,1.769621407539687e-05,15.78619973101391,9,VBN,2,0,concern,0,0,0,1,0,0,0,1,0,0,0
slave,103,1.769621407539687e-05,15.78619973101391,5,NN,4,0,slave,1,0,0,1,0,1,0,1,0,0,-1
latent,103,1.769621407539687e-05,15.78619973101391,6,JJ,2,0,latent,1,1,1,0,0,1,0,0,1,0,-1
straightforward,101,1.7352598268107607e-05,15.814488775445334,15,JJ,5,0,straightforward,0,0,0,0,0,0,1,0,0,1,1
succeeding,101,1.7352598268107607e-05,15.814488775445334,10,VBG,3,0,succeed,0,1,0,0,1,0,1,0,0,1,1
soil,101,1.7352598268107607e-05,15.814488775445334,4,NN,2,0,soil,0,0,1,0,0,1,0,0,0,0,-1
truth,99,1.7008982460818348e-05,15.843343638117519,5,NN,3,0,truth,0,0,0,0,0,0,1,0,0,1,1
integrity,98,1.683717455717372e-05,15.85799041408192,9,NN,1,0,integr,0,0,0,0,0,0,1,0,0,1,1
author,97,1.666536665352909e-05,15.87278741601,6,NN,3,0,author,0,0,0,0,0,0,1,0,0,1,1
elect,97,1.666536665352909e-05,15.87278741601,5,JJ,3,0,elect,0,0,0,0,0,0,1,0,0,1,1
saturated,97,1.666536665352909e-05,15.87278741601,9,VBN,3,0,satur,0,0,1,0,0,1,0,0,0,0,-1
splitting,96,1.6493558749884458e-05,15.887737757475973,9,NN,2,0,split,0,0,0,0,0,1,0,1,0,0,-1
prepare,96,1.6493558749884458e-05,15.887737757475973,7,VB,4,0,prepar,0,1,0,0,0,0,1,0,0,0,1
reconstruction,95,1.632175084623983e-05,15.90284464986618,14,NN,1,0,reconstruct,0,1,0,0,0,0,1,0,0,0,1
die,95,1.632175084623983e-05,15.90284464986618,3,JJ,4,0,die,0,0,0,1,0,1,0,1,0,0,-1
wireless,95,1.632175084623983e-05,15.90284464986618,8,JJ,4,0,wireless,1,1,0,0,0,0,1,0,1,0,1
usual,94,1.61499429425952e-05,15.918111406519492,5,JJ,1,0,usual,0,0,0,0,0,0,1,0,0,1,1
rod,94,1.61499429425952e-05,15.918111406519492,3,NN,4,0,rod,0,0,0,1,0,0,1,0,0,1,1
merit,91,1.563451923166131e-05,15.964905617998433,5,NN,4,0,merit,0,0,0,0,0,0,1,0,0,1,1
perturbation,91,1.563451923166131e-05,15.964905617998433,12,NN,1,0,perturb,0,0,0,1,0,1,0,0,0,0,-1
intelligence,91,1.563451923166131e-05,15.964905617998433,12,NN,1,0,intellig,0,0,0,1,1,0,1,0,0,1,1
buried,89,1.529090342437205e-05,15.99696682723073,6,VBN,4,0,buri,0,0,0,1,0,1,0,1,0,0,-1
public,88,1.5119095520727421e-05,16.013268639559833,6,JJ,2,0,public,0,1,0,0,0,0,1,0,0,0,1
rejection,87,1.4947287617082792e-05,16.029756762348402,9,NN,2,0,reject,1,0,1,1,0,1,0,1,0,0,-1
forced,86,1.477547971343816e-05,16.04643550349503,6,VBN,3,0,forc,0,0,0,1,0,1,0,0,0,0,-1
penalty,86,1.477547971343816e-05,16.04643550349503,7,NN,1,0,penalti,1,0,0,1,0,1,0,1,0,0,-1
confusion,85,1.4603671809793531e-05,16.06330932205943,9,NN,1,0,confus,1,0,0,1,0,1,0,0,0,0,-1
competition,85,1.4603671809793531e-05,16.06330932205943,11,NN,1,0,competit,0,1,0,0,0,1,0,0,0,0,-1
deal,84,1.4431863906148902e-05,16.08038283541837,4,VB,3,0,deal,0,1,0,0,1,0,1,0,1,1,1
alien,83,1.4260056002504272e-05,16.097660826850205,5,JJ,3,0,alien,0,0,1,1,0,1,0,0,0,0,-1
unacceptable,83,1.4260056002504272e-05,16.097660826850205,12,JJ,1,0,unaccept,0,0,0,0,0,1,0,1,0,0,-1
john,83,1.4260056002504272e-05,16.097660826850205,4,NN,5,0,john,0,0,1,0,0,1,0,0,0,0,-1
elimination,82,1.4088248098859643e-05,16.115148253579044,11,NN,1,0,elimin,1,0,1,1,0,1,0,1,0,0,-1
expectation,82,1.4088248098859643e-05,16.115148253579044,11,NN,1,0,expect,0,1,0,0,0,0,1,0,0,0,1
explain,81,1.3916440195215013e-05,16.132850255312505,7,VB,3,0,explain,0,0,0,0,0,0,1,0,0,1,1
fairly,81,1.3916440195215013e-05,16.132850255312505,6,RB,1,0,fairli,0,0,0,0,0,0,1,0,0,1,1
champion,80,1.3744632291570382e-05,16.150772163309767,8,NN,2,0,champion,0,1,0,0,1,0,1,0,0,1,1
intervention,80,1.3744632291570382e-05,16.150772163309767,12,NN,2,0,intervent,0,0,0,0,0,1,1,1,0,0,0
collectively,79,1.3572824387925752e-05,16.168919510020025,12,RB,1,0,collect,0,0,0,0,0,0,1,0,0,1,1
watchdog,79,1.3572824387925752e-05,16.168919510020025,8,NN,2,0,watchdog,0,0,0,0,0,0,1,0,0,1,1
difficulty,77,1.3229208580636493e-05,16.205913717502227,10,NN,1,0,difficulti,1,0,0,1,0,1,0,1,0,0,-1
confirmed,77,1.3229208580636493e-05,16.205913717502227,9,VBN,4,0,confirm,0,0,0,0,0,0,1,0,0,1,1
grant,76,1.3057400676991864e-05,16.224772744753544,5,NN,3,0,grant,0,1,0,0,1,0,1,0,0,1,1
lesser,76,1.3057400676991864e-05,16.224772744753544,6,JJR,3,0,lesser,0,0,1,0,0,1,0,0,0,0,-1
infection,76,1.3057400676991864e-05,16.224772744753544,9,NN,1,0,infect,0,0,0,1,0,1,0,0,0,0,-1
organ,76,1.3057400676991864e-05,16.224772744753544,5,JJ,6,0,organ,0,1,0,0,1,0,0,0,0,0,0
gross,76,1.3057400676991864e-05,16.224772744753544,5,JJ,1,0,gross,0,0,1,0,0,1,0,0,0,0,-1
credit,74,1.2713784869702605e-05,16.26324689256818,6,NN,1,0,credit,0,0,0,0,0,0,1,0,0,1,1
cooperation,73,1.2541976966057974e-05,16.282875699317113,11,NN,1,0,cooper,0,0,0,0,0,0,1,0,0,1,1
leader,73,1.2541976966057974e-05,16.282875699317113,6,NN,1,0,leader,0,0,0,0,0,0,1,0,0,1,1
agreement,73,1.2541976966057974e-05,16.282875699317113,9,NN,1,0,agreement,0,0,0,0,0,0,1,0,0,1,1
unstable,73,1.2541976966057974e-05,16.282875699317113,8,JJ,1,0,unstabl,0,0,0,1,0,1,0,0,1,0,-1
powerful,73,1.2541976966057974e-05,16.282875699317113,8,JJ,1,0,power,1,1,1,1,1,0,1,0,0,1,1
assist,72,1.2370169062413344e-05,16.302775256754817,6,VB,3,0,assist,0,0,0,0,0,0,1,0,0,1,1
departure,71,1.2198361158768714e-05,16.322953138692448,9,NN,3,0,departur,0,0,0,0,0,1,0,1,0,0,-1
escape,71,1.2198361158768714e-05,16.322953138692448,6,NN,4,0,escap,0,1,0,1,0,1,1,0,0,0,0
leave,71,1.2198361158768714e-05,16.322953138692448,5,VB,5,0,leav,0,0,0,0,0,1,0,1,1,0,-1
reject,70,1.2026553255124085e-05,16.343417241252162,6,JJ,4,0,reject,1,0,0,1,0,1,0,1,0,0,-1
deterioration,69,1.1854745351479455e-05,16.36417580141896,13,NN,2,0,deterior,1,0,1,1,0,1,0,1,0,0,-1
uncertain,69,1.1854745351479455e-05,16.36417580141896,9,JJ,3,0,uncertain,1,0,1,1,0,1,0,0,1,0,-1
equality,69,1.1854745351479455e-05,16.36417580141896,8,NN,2,0,equal,0,0,0,0,1,0,1,0,0,1,1
forecast,69,1.1854745351479455e-05,16.36417580141896,8,NN,5,0,forecast,0,1,0,0,0,0,0,0,0,1,0
inhibit,68,1.1682937447834826e-05,16.38523741694679,7,VB,6,0,inhibit,1,0,1,0,0,1,0,1,0,0,-1
regulatory,68,1.1682937447834826e-05,16.38523741694679,10,JJ,1,0,regulatori,0,0,0,1,0,1,0,0,0,0,-1
revolution,68,1.1682937447834826e-05,16.38523741694679,10,NN,1,0,revolut,1,1,0,1,0,1,1,1,1,0,0
legal,67,1.1511129544190195e-05,16.406611067739355,5,JJ,1,0,legal,0,0,0,0,0,0,1,0,0,1,1
illegal,67,1.1511129544190195e-05,16.406611067739355,7,JJ,4,0,illeg,1,0,1,1,0,1,0,1,0,0,-1
manage,67,1.1511129544190195e-05,16.406611067739355,6,VB,3,0,manag,0,0,0,0,0,0,1,0,0,1,1
waste,66,1.1339321640545565e-05,16.428306138838675,5,NN,2,0,wast,0,0,1,0,0,1,0,0,0,0,-1
excellent,66,1.1339321640545565e-05,16.428306138838675,9,JJ,2,0,excel,0,0,0,0,1,0,1,0,0,1,1
negation,66,1.1339321640545565e-05,16.428306138838675,8,NN,1,0,negat,1,0,0,0,0,1,0,0,0,0,-1
closure,66,1.1339321640545565e-05,16.428306138838675,7,NN,2,0,closur,0,1,0,0,1,0,1,1,0,0,1
bovine,66,1.1339321640545565e-05,16.428306138838675,6,NN,2,0,bovin,0,0,1,0,0,1,0,0,0,0,-1
chemist,66,1.1339321640545565e-05,16.428306138838675,7,NN,2,0,chemist,0,0,0,0,0,0,1,0,0,1,1
cutting,65,1.1167513736900936e-05,16.450332445168673,7,VBG,2,0,cut,1,0,1,1,0,1,0,1,0,0,-1
late,64,1.0995705833256306e-05,16.47270025819713,4,JJ,2,0,late,0,0,0,0,0,1,0,1,0,0,-1
intrusion,64,1.0995705833256306e-05,16.47270025819713,9,NN,1,0,intrus,0,0,0,1,0,1,0,0,0,0,-1
insure,64,1.0995705833256306e-05,16.47270025819713,6,VB,3,0,insur,0,0,0,0,0,0,1,0,0,1,1
interested,64,1.0995705833256306e-05,16.47270025819713,10,JJ,2,0,interest,0,0,1,0,0,0,1,1,0,0,1
success,63,1.0823897929611677e-05,16.49542033469721,7,NN,1,0,success,0,1,0,0,1,0,1,0,0,0,1
intact,62,1.0652090025967047e-05,16.518503947810252,6,JJ,1,0,intact,0,0,0,0,0,0,1,0,0,1,1
navigator,62,1.0652090025967047e-05,16.518503947810252,9,NN,2,0,navig,0,1,0,0,0,0,0,0,0,1,0
launch,62,1.0652090025967047e-05,16.518503947810252,6,NN,3,0,launch,0,1,0,0,0,0,1,0,0,0,1
excluding,62,1.0652090025967047e-05,16.518503947810252,9,VBG,1,0,exclud,0,0,0,0,0,1,0,1,0,0,-1
diamond,62,1.0652090025967047e-05,16.518503947810252,7,NN,1,0,diamond,0,0,0,0,1,0,1,0,0,0,1
guarantee,62,1.0652090025967047e-05,16.518503947810252,9,VB,3,0,guarante,0,0,0,0,0,0,1,0,0,1,1
belt,62,1.0652090025967047e-05,16.518503947810252,4,NN,3,0,belt,1,0,0,1,0,1,0,0,0,0,-1
cap,61,1.0480282122322418e-05,16.541962920634244,3,NN,3,0,cap,0,1,0,0,0,0,0,0,0,1,0
associate,61,1.0480282122322418e-05,16.541962920634244,9,VB,5,0,associ,0,0,0,0,0,0,1,0,0,1,1
food,60,1.0308474218677786e-05,16.56580966258861,4,NN,1,0,food,0,0,0,0,1,0,1,0,0,1,1
chaotic,60,1.0308474218677786e-05,16.56580966258861,7,JJ,1,0,chaotic,1,0,0,0,0,1,0,0,0,0,-1
console,59,1.0136666315033157e-05,16.590057208835287,7,NN,3,0,consol,0,0,0,0,0,0,1,1,0,0,1
undesirable,58,9.964858411388527e-06,16.614719263069556,11,JJ,1,0,undesir,1,0,1,1,0,1,0,1,0,0,-1
unable,58,9.964858411388527e-06,16.614719263069556,6,JJ,1,0,unabl,0,0,0,0,0,1,0,1,0,0,-1
physician,58,9.964858411388527e-06,16.614719263069556,9,NN,2,0,physician,0,0,0,0,0,0,1,0,0,1,1
chaos,56,9.621242604099268e-06,16.665345336139524,5,NN,2,0,chao,1,0,0,1,0,1,0,1,0,0,-1
clean,56,9.621242604099268e-06,16.665345336139524,5,JJ,4,0,clean,0,0,0,0,1,0,1,0,0,1,1
perfect,56,9.621242604099268e-06,16.665345336139524,7,JJ,3,0,perfect,0,1,0,0,1,0,1,0,0,1,1
avoidance,56,9.621242604099268e-06,16.665345336139524,9,NN,1,0,avoid,0,0,0,1,0,1,0,0,0,0,-1
infinity,55,9.449434700454639e-06,16.69134054467247,8,NN,4,0,infin,0,1,0,0,1,0,1,0,0,1,1
rack,55,9.449434700454639e-06,16.69134054467247,4,NN,3,0,rack,0,0,0,0,0,1,0,1,0,0,-1
therapeutic,55,9.449434700454639e-06,16.69134054467247,11,JJ,1,0,therapeut,0,0,0,0,1,0,1,0,0,1,1
fits,55,9.449434700454639e-06,16.69134054467247,4,VBZ,2,0,fit,1,0,0,0,0,1,0,0,0,0,-1
somatic,55,9.449434700454639e-06,16.69134054467247,7,JJ,2,0,somat,0,0,0,0,0,1,0,0,1,0,-1
purely,54,9.277626796810008e-06,16.71781275603366,6,RB,1,0,pure,0,0,0,0,0,0,1,0,0,1,1
elevation,53,9.105818893165378e-06,16.74477980363393,9,NN,2,0,elev,0,1,0,1,1,0,1,0,0,1,1
cancel,53,9.105818893165378e-06,16.74477980363393,6,VB,5,0,cancel,0,0,0,0,0,1,0,1,0,0,-1
winning,53,9.105818893165378e-06,16.74477980363393,7,VBG,3,0,win,0,1,1,0,1,0,1,1,1,1,1
discriminating,53,9.105818893165378e-06,16.74477980363393,14,VBG,3,0,discrimin,0,0,1,0,0,1,0,0,0,0,-1
infarct,53,9.105818893165378e-06,16.74477980363393,7,NN,2,0,infarct,0,0,0,1,0,1,0,0,1,0,-1
exhausted,52,8.934010989520749e-06,16.77226054005604,9,VBN,2,0,exhaust,0,0,0,0,0,1,0,1,0,0,-1
challenge,52,8.934010989520749e-06,16.77226054005604,9,NN,3,0,challeng,1,0,0,1,0,1,0,0,0,0,-1
completing,52,8.934010989520749e-06,16.77226054005604,10,VBG,1,0,complet,0,1,0,0,1,0,1,0,0,0,1
weakly,52,8.934010989520749e-06,16.77226054005604,6,RB,7,0,weakli,0,0,0,1,0,1,0,1,0,0,-1
inequality,52,8.934010989520749e-06,16.77226054005604,10,NN,2,0,inequ,1,0,0,1,0,1,0,1,0,0,-1
shrink,51,8.762203085876119e-06,16.800274916225632,6,NN,4,0,shrink,0,0,0,1,0,1,0,1,0,0,-1
helpful,51,8.762203085876119e-06,16.800274916225632,7,JJ,2,0,help,0,0,0,0,1,0,1,0,0,1,1
rail,51,8.762203085876119e-06,16.800274916225632,4,NN,5,0,rail,1,1,0,0,0,1,0,0,0,0,-1
conflict,51,8.762203085876119e-06,16.800274916225632,8,NN,4,0,conflict,1,0,0,1,0,1,0,1,0,0,-1
interrupted,51,8.762203085876119e-06,16.800274916225632,11,VBN,2,0,interrupt,0,0,0,0,0,1,0,1,0,0,-1
horizon,51,8.762203085876119e-06,16.800274916225632,7,NN,2,0,horizon,0,1,0,0,0,0,1,0,0,0,1
depression,51,8.762203085876119e-06,16.800274916225632,10,NN,2,0,depress,0,0,0,0,0,1,0,1,0,0,-1
hollow,50,8.59039518223149e-06,16.828844068422406,6,JJ,2,0,hollow,0,0,0,0,0,1,0,1,0,0,-1
grow,50,8.59039518223149e-06,16.828844068422406,4,VB,3,0,grow,0,1,0,0,1,0,1,0,0,1,1
surround,50,8.59039518223149e-06,16.828844068422406,8,NN,5,0,surround,0,1,0,0,0,1,1,0,0,0,0
experienced,50,8.59039518223149e-06,16.828844068422406,11,VBN,3,0,experienc,0,0,0,0,0,0,1,0,0,1,1
crude,49,8.41858727858686e-06,16.85799041408192,5,NN,4,0,crude,0,0,1,0,0,1,0,0,0,0,-1
armed,49,8.41858727858686e-06,16.85799041408192,5,VBN,4,0,arm,1,0,0,1,0,1,1,0,0,0,0
suppression,48,8.246779374942229e-06,16.88773775747597,11,NN,1,0,suppress,1,0,1,1,0,1,0,0,0,0,-1
backbone,48,8.246779374942229e-06,16.88773775747597,8,NN,2,0,backbon,1,0,0,0,0,0,1,0,0,1,1
mandarin,47,8.0749714712976e-06,16.918111406519493,8,NN,4,0,mandarin,0,0,0,0,0,0,1,0,0,1,1
purification,47,8.0749714712976e-06,16.918111406519493,12,NN,1,0,purif,0,0,0,0,0,0,1,0,0,1,1
lying,47,8.0749714712976e-06,16.918111406519493,5,VBG,2,0,lie,1,0,1,0,0,1,0,0,0,0,-1
familiar,47,8.0749714712976e-06,16.918111406519493,8,JJ,1,0,familiar,0,0,0,0,0,0,1,0,0,1,1
sonar,47,8.0749714712976e-06,16.918111406519493,5,NN,4,0,sonar,0,1,0,0,0,0,1,0,0,0,1
haze,46,7.90316356765297e-06,16.949138302140117,4,NN,1,0,haze,0,0,0,1,0,1,0,0,0,0,-1
helper,46,7.90316356765297e-06,16.949138302140117,6,NN,3,0,helper,0,0,0,0,0,0,1,0,0,1,1
independence,46,7.90316356765297e-06,16.949138302140117,12,NN,1,0,independ,0,1,0,0,1,0,1,0,1,1,1
garbage,46,7.90316356765297e-06,16.949138302140117,7,NN,1,0,garbag,0,0,1,0,0,1,0,0,0,0,-1
emergency,46,7.90316356765297e-06,16.949138302140117,9,NN,1,0,emerg,0,0,0,1,0,1,0,1,1,0,-1
virtue,45,7.73135566400834e-06,16.980847161867455,6,NN,1,0,virtu,0,0,0,0,0,0,1,0,0,1,1
pay,45,7.73135566400834e-06,16.980847161867455,3,NN,4,0,pay,0,1,0,0,1,0,1,0,0,1,1
academic,45,7.73135566400834e-06,16.980847161867455,8,JJ,1,0,academ,0,0,0,0,0,0,1,0,0,1,1
money,45,7.73135566400834e-06,16.980847161867455,5,NN,1,0,money,1,1,0,0,1,0,1,0,1,1,1
instructor,45,7.73135566400834e-06,16.980847161867455,10,NN,1,0,instructor,0,1,0,0,0,0,1,0,0,1,1
depressed,44,7.559547760363711e-06,17.013268639559833,9,VBN,3,0,depress,1,0,0,1,0,1,0,1,0,0,-1
purge,44,7.559547760363711e-06,17.013268639559833,5,NN,2,0,purg,0,0,0,1,0,1,0,0,0,0,-1
treat,44,7.559547760363711e-06,17.013268639559833,5,VB,4,0,treat,1,1,1,1,1,1,1,1,1,1,0
bacteria,44,7.559547760363711e-06,17.013268639559833,8,NNS,5,0,bacteria,0,0,1,1,0,1,0,1,0,0,-1
vision,44,7.559547760363711e-06,17.013268639559833,6,NN,2,0,vision,0,1,0,0,0,0,1,0,0,0,1
opportunity,44,7.559547760363711e-06,17.013268639559833,11,NN,1,0,opportun,0,1,0,0,0,0,1,0,0,0,1
conservation,44,7.559547760363711e-06,17.013268639559833,12,NN,1,0,conserv,0,1,0,0,0,0,1,0,0,1,1
acquiring,44,7.559547760363711e-06,17.013268639559833,9,VBG,1,0,acquir,0,1,0,0,0,0,1,0,0,0,1
resistant,44,7.559547760363711e-06,17.013268639559833,9,JJ,3,0,resist,0,0,0,1,0,1,0,0,0,0,-1
spurious,43,7.38773985671908e-06,17.04643550349503,8,JJ,1,0,spuriou,0,0,1,0,0,1,0,0,0,0,-1
expect,42,7.215931953074451e-06,17.08038283541837,6,VB,2,0,expect,0,1,0,0,0,0,1,0,1,1,1
fidelity,42,7.215931953074451e-06,17.08038283541837,8,NN,1,0,fidel,0,0,0,0,1,0,1,0,0,1,1
disconnected,42,7.215931953074451e-06,17.08038283541837,12,VBN,3,0,disconnect,0,0,0,0,0,1,0,1,0,0,-1
possess,41,7.044124049429821e-06,17.115148253579044,7,VB,6,0,possess,0,1,0,0,1,0,1,0,0,1,1
synchronize,41,7.044124049429821e-06,17.115148253579044,11,VB,4,0,synchron,0,1,0,0,1,0,1,0,1,1,1
distorted,41,7.044124049429821e-06,17.115148253579044,9,VBN,3,0,distort,0,0,1,0,0,1,0,0,0,0,-1
goodness,40,6.872316145785191e-06,17.150772163309767,8,NN,2,0,good,0,1,0,0,1,0,1,0,1,1,1
united,40,6.872316145785191e-06,17.150772163309767,6,JJ,2,0,unit,0,0,0,0,0,0,1,0,0,1,1
bark,40,6.872316145785191e-06,17.150772163309767,4,NN,3,0,bark,1,0,0,0,0,1,0,0,0,0,-1
abandoned,40,6.872316145785191e-06,17.150772163309767,9,VBN,3,0,abandon,1,0,0,1,0,1,0,1,0,0,-1
safe,40,6.872316145785191e-06,17.150772163309767,4,JJ,3,0,safe,0,0,0,0,1,0,1,0,0,1,1
overload,40,6.872316145785191e-06,17.150772163309767,8,NN,6,0,overload,0,0,0,0,0,1,0,1,0,0,-1
wild,40,6.872316145785191e-06,17.150772163309767,4,JJ,2,0,wild,0,0,0,0,0,1,0,0,1,0,-1
magnet,39,6.700508242140561e-06,17.18729803933488,6,NN,1,0,magnet,0,0,0,0,0,0,1,0,0,1,1
phantom,39,6.700508242140561e-06,17.18729803933488,7,NN,3,0,phantom,0,0,0,1,0,1,0,0,0,0,-1
educational,39,6.700508242140561e-06,17.18729803933488,11,JJ,2,0,educ,0,0,0,0,0,0,1,0,0,1,1
disorder,39,6.700508242140561e-06,17.18729803933488,8,NN,2,0,disord,0,0,0,1,0,1,0,0,0,0,-1
analyst,38,6.528700338495932e-06,17.224772744753544,7,NN,1,0,analyst,0,1,0,0,0,0,1,0,0,1,1
fight,38,6.528700338495932e-06,17.224772744753544,5,NN,5,0,fight,1,0,0,1,0,1,0,0,0,0,-1
difficulties,38,6.528700338495932e-06,17.224772744753544,12,NNS,2,0,difficulti,0,0,0,0,0,1,0,1,0,0,-1
violation,38,6.528700338495932e-06,17.224772744753544,9,NN,1,0,violat,1,0,0,1,0,1,0,1,1,0,-1
ill,37,6.356892434851302e-06,17.26324689256818,3,NN,5,0,ill,1,0,1,1,0,1,0,1,0,0,-1
attack,37,6.356892434851302e-06,17.26324689256818,6,NN,2,0,attack,1,0,0,1,0,1,0,0,0,0,-1
disconnect,37,6.356892434851302e-06,17.26324689256818,10,VB,4,0,disconnect,0,0,0,0,0,1,0,1,0,0,-1
reversal,37,6.356892434851302e-06,17.26324689256818,8,NN,3,0,revers,1,0,1,0,0,1,0,0,1,0,-1
pain,37,6.356892434851302e-06,17.26324689256818,4,NN,3,0,pain,0,0,0,1,0,1,0,1,0,0,-1
young,37,6.356892434851302e-06,17.26324689256818,5,JJ,1,0,young,0,1,0,0,1,0,1,0,1,0,1
urgent,37,6.356892434851302e-06,17.26324689256818,6,JJ,2,0,urgent,0,1,0,1,0,1,0,0,1,0,-1
suppress,37,6.356892434851302e-06,17.26324689256818,8,VB,3,0,suppress,1,0,0,1,0,1,0,1,0,0,-1
reflux,37,6.356892434851302e-06,17.26324689256818,6,NN,3,0,reflux,0,0,1,0,0,1,0,0,0,0,-1
qualified,37,6.356892434851302e-06,17.26324689256818,9,JJ,3,0,qualifi,0,0,0,0,0,0,1,0,0,1,1
unexpected,36,6.185084531206672e-06,17.302775256754817,10,JJ,2,0,unexpect,0,1,0,1,1,1,1,0,1,0,0
absent,36,6.185084531206672e-06,17.302775256754817,6,JJ,3,0,absent,0,0,0,0,0,1,0,1,0,0,-1
favorable,36,6.185084531206672e-06,17.302775256754817,9,JJ,1,0,favor,0,1,0,0,1,0,1,0,1,1,1
freely,36,6.185084531206672e-06,17.302775256754817,6,RB,1,0,freeli,0,0,0,0,1,0,1,0,0,1,1
ultimate,36,6.185084531206672e-06,17.302775256754817,8,JJ,2,0,ultim,0,1,0,0,0,0,0,1,0,0,0
inquiry,36,6.185084531206672e-06,17.302775256754817,7,NN,3,0,inquiri,0,1,0,0,0,0,1,0,0,0,1
fulfillment,36,6.185084531206672e-06,17.302775256754817,11,NN,2,0,fulfil,0,1,0,0,1,0,1,0,0,1,1
backwards,35,6.0132766275620425e-06,17.343417241252162,9,NNS,3,0,backward,0,0,1,0,0,1,0,0,0,0,-1
sex,35,6.0132766275620425e-06,17.343417241252162,3,NN,2,0,sex,0,1,0,0,1,0,1,0,0,1,1
closeness,35,6.0132766275620425e-06,17.343417241252162,9,NN,2,0,close,0,0,0,0,1,0,1,0,0,1,1
